Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2014",,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,
STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,
,35 to 44,78,76,48,60.7,6.6,63.0,6.6,32,41.2,6.6,42.8,6.8,
,45 to 64,184,180,128,69.5,4.0,71.3,4.0,106,57.4,4.3,59.0,4.4,
,65+,101,100,84,82.9,4.5,83.5,4.4,75,74.3,5.2,74.8,5.2,
OHIO,Total,"8,772","8,509","5,657",64.5,1.5,66.5,1.5,"3,378",38.5,1.6,39.7,1.6,
,18 to 24,985,968,421,42.8,4.7,43.5,4.8,122,12.4,3.2,12.6,3.2,
,25 to 34,"1,488","1,408",882,59.2,3.8,62.6,3.9,404,27.1,3.5,28.7,3.6,
,35 to 44,"1,383","1,312",930,67.3,3.8,70.9,3.8,501,36.2,3.9,38.2,4.0,
,45 to 64,"3,033","2,955","2,043",67.4,2.6,69.1,2.6,"1,293",42.6,2.7,43.7,2.7,
,65+,"1,883","1,867","1,381",73.3,3.1,74.0,3.1,"1,059",56.2,3.4,56.7,3.5,
OKLAHOMA,Total,"2,851","2,690","1,644",57.7,2.7,61.1,2.7,920,32.3,2.5,34.2,2.7,
,18 to 24,382,352,119,31.1,6.9,33.8,7.3,42,10.9,4.6,11.8,5.0,
,25 to 34,536,501,286,53.3,6.3,57.1,6.4,104,19.5,5.0,20.9,5.3,
,35 to 44,419,362,218,52.1,7.1,60.3,7.5,108,25.7,6.2,29.7,7.0,
,45 to 64,946,917,603,63.8,4.5,65.8,4.6,366,38.7,4.6,39.9,4.7,
,65+,568,558,418,73.5,5.4,74.8,5.3,300,52.9,6.1,53.8,6.1,
OREGON,Total,"3,078","2,870","2,008",65.2,2.5,70.0,2.5,"1,594",51.8,2.6,55.5,2.7,
,18 to 24,380,358,149,39.1,7.2,41.6,7.5,89,23.4,6.3,24.9,6.6,
,25 to 34,531,483,333,62.7,6.1,69.0,6.1,242,45.6,6.2,50.2,6.6,
,35 to 44,497,436,311,62.6,6.3,71.4,6.3,237,47.8,6.5,54.4,6.9,
,45 to 64,"1,066",994,757,71.0,4.0,76.2,3.9,615,57.6,4.4,61.8,4.5,
,65+,604,599,457,75.8,5.0,76.3,5.0,410,68.0,5.5,68.5,5.5,
PENNSYLVANIA,Total,"9,924","9,511","6,121",61.7,1.5,64.4,1.5,"3,803",38.3,1.5,40.0,1.5,
,18 to 24,"1,119","1,062",404,36.1,4.3,38.0,4.5,116,10.4,2.8,10.9,2.9,
,25 to 34,"1,667","1,511",852,51.1,3.7,56.4,3.9,424,25.4,3.2,28.0,3.5,
,35 to 44,"1,484","1,385",972,65.5,3.7,70.1,3.7,509,34.3,3.7,36.8,3.9,
,45 to 64,"3,607","3,525","2,398",66.5,2.4,68.0,2.4,"1,633",45.3,2.5,46.3,2.5,
,65+,"2,047","2,027","1,496",73.1,3.0,73.8,3.0,"1,121",54.8,3.3,55.3,3.3,
RHODE ISLAND,Total,819,765,486,59.4,2.6,63.6,2.6,331,40.4,2.5,43.3,2.7,
,18 to 24,108,103,44,41.1,7.0,43.3,7.3,14,13.0,4.8,13.7,5.0,
,25 to 34,132,119,61,46.4,6.4,51.7,6.8,25,18.8,5.0,21.0,5.6,
,35 to 44,122,109,67,54.9,6.7,61.8,6.9,45,37.1,6.5,41.7,7.0,
,45 to 64,289,273,197,68.1,4.1,71.9,4.0,157,54.4,4.4,57.4,4.4,
,65+,167,161,117,69.7,5.3,72.2,5.2,90,53.7,5.7,55.7,5.8,
SOUTH CAROLINA,Total,"3,667","3,569","2,458",67.0,2.3,68.9,2.3,"1,514",41.3,2.4,42.4,2.5,
,18 to 24,462,457,209,45.2,6.9,45.7,6.9,89,19.3,5.5,19.5,5.5,
