"Table with row headers in column A, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States:  November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1,
,65+,"1,639","1,618","1,309",79.9,3.3,80.9,3.3,"1,069",65.2,3.9,66.1,3.9,
NORTH DAKOTA,Total,560,541,397,70.9,2.5,73.4,2.5,335,59.8,2.7,61.9,2.7,
,18 to 24,74,72,42,B,B,B,B,26,B,B,B,B,
,25 to 34,122,113,78,64.0,5.7,68.9,5.7,60,49.4,5.9,53.2,6.1,
,35 to 44,81,77,57,69.9,6.6,73.8,6.5,47,57.9,7.1,61.1,7.3,
,45 to 64,165,162,125,75.3,4.4,76.7,4.3,112,67.9,4.7,69.1,4.7,
,65+,118,118,96,81.6,4.7,81.8,4.6,90,76.1,5.1,76.4,5.1,
OHIO,Total,"8,873","8,640","6,062",68.3,1.6,70.2,1.6,"4,538",51.1,1.8,52.5,1.8,
,18 to 24,"1,033","1,007",503,48.7,5.1,49.9,5.2,226,21.9,4.2,22.5,4.3,
,25 to 34,"1,472","1,399",882,59.9,4.2,63.0,4.3,601,40.8,4.2,42.9,4.4,
,35 to 44,"1,365","1,322",956,70.1,4.1,72.3,4.1,706,51.8,4.5,53.4,4.5,
,45 to 64,"3,127","3,043","2,238",71.6,2.7,73.6,2.6,"1,750",56.0,2.9,57.5,3.0,
,65+,"1,876","1,869","1,482",79.0,3.1,79.3,3.1,"1,254",66.9,3.6,67.1,3.6,
OKLAHOMA,Total,"2,868","2,732","1,777",62.0,2.9,65.1,2.9,"1,350",47.1,3.0,49.4,3.0,
,18 to 24,309,287,110,35.6,8.7,38.2,9.1,65,21.1,7.4,22.6,7.9,
,25 to 34,507,471,275,54.2,7.0,58.3,7.2,191,37.6,6.8,40.5,7.2,
,35 to 44,509,469,305,59.8,6.9,64.9,7.0,202,39.7,6.9,43.1,7.3,
,45 to 64,912,876,600,65.8,5.0,68.5,5.0,486,53.2,5.3,55.4,5.3,
,65+,631,628,487,77.2,5.3,77.6,5.3,406,64.4,6.1,64.7,6.1,
OREGON,Total,"3,293","3,138","2,274",69.1,2.6,72.5,2.5,"1,918",58.2,2.7,61.1,2.8,
,18 to 24,336,331,205,61.1,8.4,62.0,8.4,128,38.2,8.4,38.8,8.5,
,25 to 34,626,585,403,64.4,6.1,68.9,6.1,334,53.3,6.3,57.1,6.5,
,35 to 44,539,493,336,62.4,6.6,68.1,6.6,259,48.1,6.8,52.5,7.1,
,45 to 64,976,929,708,72.6,4.5,76.2,4.4,633,64.9,4.8,68.1,4.8,
,65+,816,799,622,76.2,4.7,77.8,4.7,564,69.1,5.1,70.6,5.1,
PENNSYLVANIA,Total,"9,928","9,475","6,469",65.2,1.6,68.3,1.6,"5,173",52.1,1.7,54.6,1.7,
,18 to 24,"1,144","1,109",546,47.7,4.9,49.2,5.0,365,31.9,4.6,33.0,4.7,
,25 to 34,"1,622","1,457",883,54.4,4.1,60.6,4.2,603,37.2,4.0,41.4,4.3,
,35 to 44,"1,464","1,326",903,61.6,4.2,68.1,4.2,705,48.1,4.3,53.2,4.5,
,45 to 64,"3,381","3,292","2,437",72.1,2.6,74.0,2.5,"2,034",60.2,2.8,61.8,2.8,
,65+,"2,317","2,291","1,702",73.5,3.0,74.3,3.0,"1,465",63.2,3.3,63.9,3.3,
RHODE ISLAND,Total,828,782,532,64.2,2.7,68.0,2.7,403,48.7,2.8,51.6,2.9,
,18 to 24,90,82,50,55.5,8.5,61.5,8.8,34,37.8,8.3,41.8,8.9,
,25 to 34,145,136,72,49.6,6.7,52.9,7.0,45,31.0,6.2,33.1,6.6,
