"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"299","WEST VIRGINIA","35 to 44",197,120,59.9,60.6,73,36.7,37.1,"2018"
"300","WEST VIRGINIA","45 to 64",476,320,67,67.3,229,47.9,48.1,"2018"
"301","WEST VIRGINIA","65+",358,275,76.7,76.8,222,62,62.1,"2018"
"302","WISCONSIN","Total",4296,3129,70.5,72.8,2776,62.6,64.6,"2018"
"303","WISCONSIN","18 to 24",462,254,54,55,221,46.9,47.7,"2018"
"304","WISCONSIN","25 to 34",689,424,56.8,61.6,339,45.5,49.3,"2018"
"305","WISCONSIN","35 to 44",663,438,62.3,66.1,388,55.2,58.5,"2018"
"306","WISCONSIN","45 to 64",1467,1189,79.8,81,1056,70.9,72,"2018"
"307","WISCONSIN","65+",1015,824,80.3,81.2,772,75.2,76,"2018"
"308","WYOMING","Total",422,268,62.4,63.5,220,51.2,52.1,"2018"
"309","WYOMING","18 to 24",44,15,NA,NA,9,NA,NA,"2018"
"310","WYOMING","25 to 34",80,42,50.1,52.4,28,33.6,35.2,"2018"
"311","WYOMING","35 to 44",65,40,NA,NA,28,NA,NA,"2018"
"312","WYOMING","45 to 64",141,98,69.3,69.8,88,62,62.5,"2018"
"313","WYOMING","65+",93,73,77.3,78.1,67,71.1,71.8,"2018"
"1","US","Total",224059,157596,64.2,70.3,137537,56,61.4,"2016"
"2100","US","18 to 24",26913,14905,50.8,55.4,11560,39.4,43,"2016"
"314","US","25 to 34",38283,24682,56.4,64.5,20332,46.4,53.1,"2016"
"410","US","35 to 44",34327,23948,60,69.8,20662,51.8,60.2,"2016"
"510","US","45 to 64",77544,57394,68.5,74,51668,61.7,66.6,"2016"
"610","US","65+",46993,36667,75.3,78,33314,68.4,70.9,"2016"
"710","ALABAMA","Total",3651,2526,68,69.2,2095,56.4,57.4,"2016"
